Date,Country,Daily Cases,Daily Deaths,Daily Recovered,Total Cases,Total Deaths,Total Recovered
2025-03-09,USA,18163,1762,17796,20341462,435858,19906999
2025-03-08,USA,15060,451,14904,20356522,436309,19921903
2025-03-07,USA,15501,1139,15402,20372023,437448,19937305
2025-03-06,USA,49173,711,48698,20421196,438159,19986003
2025-03-05,USA,42609,1586,42335,20463805,439745,20028338
2025-03-04,USA,35311,1520,35289,20499116,441265,20063627
2025-03-03,USA,19480,1633,19296,20518596,442898,20082923
2025-03-02,USA,46036,513,45987,20564632,443411,20128910
2025-03-01,USA,42198,300,42129,20606830,443711,20171039
2025-02-28,USA,48371,394,48228,20655201,444105,20219267
2025-02-27,USA,21861,323,21659,20677062,444428,20240926
2025-02-26,USA,32128,1402,32026,20709190,445830,20272952
2025-02-25,USA,21255,998,21135,20730445,446828,20294087
2025-02-24,USA,9286,1929,9066,20739731,448757,20303153
2025-02-23,USA,752,1390,673,20740483,450147,20303826
2025-02-22,USA,10172,467,10023,20750655,450614,20313849
2025-02-21,USA,36118,1955,35794,20786773,452569,20349643
2025-02-20,USA,8413,228,8203,20795186,452797,20357846
2025-02-19,USA,23474,510,23191,20818660,453307,20381037
2025-02-18,USA,27743,1372,27679,20846403,454679,20408716
2025-02-17,USA,9985,1516,9942,20856388,456195,20418658
2025-02-16,USA,12272,163,12065,20868660,456358,20430723
2025-02-15,USA,45920,711,45798,20914580,457069,20476521
2025-02-14,USA,16995,1448,16905,20931575,458517,20493426
2025-02-13,USA,14247,514,14112,20945822,459031,20507538
2025-02-12,USA,5573,1840,5122,20951395,460871,20512660
2025-02-11,USA,12684,700,12637,20964079,461571,20525297
2025-02-10,USA,42582,1898,42354,21006661,463469,20567651
2025-02-09,USA,16694,1244,16561,21023355,464713,20584212
2025-02-08,USA,700,1407,609,21024055,466120,20584821
2025-02-07,USA,14213,296,13913,21038268,466416,20598734
2025-02-06,USA,25326,1259,25169,21063594,467675,20623903
2025-02-05,USA,38155,1295,38094,21101749,468970,20661997
2025-02-04,USA,33311,725,32870,21135060,469695,20694867
2025-02-03,USA,12956,1888,12679,21148016,471583,20707546
2025-02-02,USA,6282,712,5873,21154298,472295,20713419
2025-02-01,USA,2030,1262,1672,21156328,473557,20715091
2025-01-31,USA,20070,1195,19807,21176398,474752,20734898
2025-01-30,USA,34133,114,33667,21210531,474866,20768565
2025-01-29,USA,16259,744,16064,21226790,475610,20784629
2025-01-28,USA,24589,1412,24131,21251379,477022,20808760
2025-01-27,USA,25369,1041,24964,21276748,478063,20833724
2025-01-26,USA,15184,1324,14734,21291932,479387,20848458
2025-01-25,USA,5900,809,5759,21297832,480196,20854217
2025-01-24,USA,42335,595,41865,21340167,480791,20896082
2025-01-23,USA,26960,1935,26922,21367127,482726,20923004
2025-01-22,USA,15886,59,15506,21383013,482785,20938510
2025-01-21,USA,12397,1460,12148,21395410,484245,20950658
2025-01-20,USA,23958,620,23626,21419368,484865,20974284
2025-01-19,USA,32931,1232,32862,21452299,486097,21007146
2025-01-18,USA,23765,404,23464,21476064,486501,21030610
2025-01-17,USA,6746,1393,6651,21482810,487894,21037261
2025-01-16,USA,41877,418,41872,21524687,488312,21079133
2025-01-15,USA,1850,668,1702,21526537,488980,21080835
2025-01-14,USA,13525,1633,13346,21540062,490613,21094181
2025-01-13,USA,30783,1300,30448,21570845,491913,21124629
2025-01-12,USA,6756,1939,6355,21577601,493852,21130984
2025-01-11,USA,47714,1486,47453,21625315,495338,21178437
2025-01-10,USA,35282,1727,35251,21660597,497065,21213688
2025-01-09,USA,9257,999,8992,21669854,498064,21222680
2025-01-08,USA,32208,998,32050,21702062,499062,21254730
2025-01-07,USA,24727,209,24717,21726789,499271,21279447
2025-01-06,USA,2202,1016,1994,21728991,500287,21281441
2025-01-05,USA,6991,1976,6860,21735982,502263,21288301
2025-01-04,USA,1884,846,1596,21737866,503109,21289897
2025-01-03,USA,44577,606,44293,21782443,503715,21334190
2025-01-02,USA,15606,380,15536,21798049,504095,21349726
2025-01-01,USA,38740,425,38287,21836789,504520,21388013
2024-12-31,USA,13610,1426,13258,21850399,505946,21401271
2024-12-30,USA,5569,398,5238,21855968,506344,21406509
2024-12-29,USA,46185,289,45869,21902153,506633,21452378
2024-12-28,USA,42167,1016,41771,21944320,507649,21494149
2024-12-27,USA,7480,688,7394,21951800,508337,21501543
2024-12-26,USA,43119,468,42700,21994919,508805,21544243
2024-12-25,USA,30766,153,30553,22025685,508958,21574796
2024-12-24,USA,42622,289,42169,22068307,509247,21616965
2024-12-23,USA,25840,1457,25518,22094147,510704,21642483
2024-12-22,USA,34463,1139,34399,22128610,511843,21676882
2024-12-21,USA,19366,1551,19053,22147976,513394,21695935
2024-12-20,USA,42009,1511,41513,22189985,514905,21737448
2024-12-19,USA,24249,548,24073,22214234,515453,21761521
2024-12-18,USA,15279,1315,15099,22229513,516768,21776620
2024-12-17,USA,15590,1772,15275,22245103,518540,21791895
2024-12-16,USA,20521,848,20117,22265624,519388,21812012
2024-12-15,USA,10194,1415,9953,22275818,520803,21821965
2024-12-14,USA,33081,1104,32777,22308899,521907,21854742
2024-12-13,USA,11262,81,11030,22320161,521988,21865772
2024-12-12,USA,17947,1678,17472,22338108,523666,21883244
2024-12-11,USA,42568,625,42447,22380676,524291,21925691
2024-12-10,USA,12430,354,12320,22393106,524645,21938011
2024-12-09,USA,11212,246,10886,22404318,524891,21948897
2024-12-08,USA,27916,1503,27469,22432234,526394,21976366
2024-12-07,USA,11271,66,10817,22443505,526460,21987183
2024-12-06,USA,34532,63,34178,22478037,526523,22021361
2024-12-05,USA,27490,543,27180,22505527,527066,22048541
2024-12-04,USA,22839,128,22827,22528366,527194,22071368
2024-12-03,USA,44501,718,44093,22572867,527912,22115461
2024-12-02,USA,26553,88,26485,22599420,528000,22141946
2024-12-01,USA,10375,775,10176,22609795,528775,22152122
2024-11-30,USA,25144,951,24871,22634939,529726,22176993
2024-11-29,USA,19653,1578,19312,22654592,531304,22196305
2024-11-28,USA,25024,1906,24690,22679616,533210,22220995
2024-11-27,USA,7632,1643,7430,22687248,534853,22228425
2024-11-26,USA,42414,1665,42364,22729662,536518,22270789
2024-11-25,USA,17159,592,16805,22746821,537110,22287594
2024-11-24,USA,47837,38,47667,22794658,537148,22335261
2024-11-23,USA,25022,197,24891,22819680,537345,22360152
2024-11-22,USA,39934,841,39867,22859614,538186,22400019
2024-11-21,USA,34355,293,34125,22893969,538479,22434144
2024-11-20,USA,5175,145,4797,22899144,538624,22438941
2024-11-19,USA,7708,1905,7562,22906852,540529,22446503
2024-11-18,USA,38373,489,37982,22945225,541018,22484485
2024-11-17,USA,26677,1037,26277,22971902,542055,22510762
2024-11-16,USA,12263,923,12195,22984165,542978,22522957
2024-11-15,USA,15673,1486,15486,22999838,544464,22538443
2024-11-14,USA,34816,905,34624,23034654,545369,22573067
2024-11-13,USA,21436,729,20978,23056090,546098,22594045
2024-11-12,USA,36273,501,36262,23092363,546599,22630307
2024-11-11,USA,16556,1302,16346,23108919,547901,22646653
2024-11-10,USA,33548,177,33247,23142467,548078,22679900
2024-11-09,USA,9583,1948,9486,23152050,550026,22689386
2024-11-08,USA,49084,730,48648,23201134,550756,22738034
2024-11-07,USA,2856,218,2486,23203990,550974,22740520
2024-11-06,USA,34698,797,34663,23238688,551771,22775183
2024-11-05,USA,6550,945,6535,23245238,552716,22781718
2024-11-04,USA,12092,1159,12084,23257330,553875,22793802
2024-11-03,USA,48429,1181,47976,23305759,555056,22841778
2024-11-02,USA,43778,1438,43432,23349537,556494,22885210
2024-11-01,USA,21139,1900,20933,23370676,558394,22906143
2024-10-31,USA,14971,1812,14833,23385647,560206,22920976
2024-10-30,USA,17792,1596,17706,23403439,561802,22938682
2024-10-29,USA,36271,1312,36247,23439710,563114,22974929
2024-10-28,USA,44373,752,43932,23484083,563866,23018861
2024-10-27,USA,35432,124,35075,23519515,563990,23053936
2024-10-26,USA,13538,1170,13120,23533053,565160,23067056
